ISim log file
Running: /home/ise/F8_code/VERILOG/HOMEWORK_C6/C6/tb_updown_counter_hw1_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/F8_code/VERILOG/HOMEWORK_C6/C6/tb_updown_counter_hw1_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Time=0 | CLR=1 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=0000
Time=50000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=0000
Time=70000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=1000
Time=110000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=0100
Time=150000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=1100
Time=190000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=0010
Time=230000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=1010
Time=270000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=0110
Time=310000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=1110
Time=350000 | CLR=0 | S1S0=00 | U_D=1 | q=  0 | q_bin=00000000 | f=0001
Time=370000 | CLR=0 | S1S0=00 | U_D=1 | q=  1 | q_bin=00000001 | f=0001
Time=390000 | CLR=0 | S1S0=00 | U_D=1 | q=  1 | q_bin=00000001 | f=1001
Time=430000 | CLR=0 | S1S0=00 | U_D=1 | q=  1 | q_bin=00000001 | f=0101
Time=450000 | CLR=0 | S1S0=01 | U_D=1 | q=  1 | q_bin=00000001 | f=0101
Time=470000 | CLR=0 | S1S0=01 | U_D=1 | q=  1 | q_bin=00000001 | f=1101
Time=510000 | CLR=0 | S1S0=01 | U_D=1 | q=  1 | q_bin=00000001 | f=0011
Time=530000 | CLR=0 | S1S0=01 | U_D=1 | q=  2 | q_bin=00000010 | f=0011
Time=550000 | CLR=0 | S1S0=01 | U_D=1 | q=  2 | q_bin=00000010 | f=1011
Time=590000 | CLR=0 | S1S0=01 | U_D=1 | q=  2 | q_bin=00000010 | f=0111
Time=630000 | CLR=0 | S1S0=01 | U_D=1 | q=  2 | q_bin=00000010 | f=1111
Time=670000 | CLR=0 | S1S0=01 | U_D=1 | q=  2 | q_bin=00000010 | f=0000
Time=690000 | CLR=0 | S1S0=01 | U_D=1 | q=  3 | q_bin=00000011 | f=0000
Time=710000 | CLR=0 | S1S0=01 | U_D=1 | q=  3 | q_bin=00000011 | f=1000
Time=750000 | CLR=0 | S1S0=01 | U_D=1 | q=  3 | q_bin=00000011 | f=0100
Time=790000 | CLR=0 | S1S0=01 | U_D=1 | q=  3 | q_bin=00000011 | f=1100
Time=830000 | CLR=0 | S1S0=01 | U_D=1 | q=  3 | q_bin=00000011 | f=0010
Time=850000 | CLR=0 | S1S0=10 | U_D=1 | q=  4 | q_bin=00000100 | f=0010
Time=870000 | CLR=0 | S1S0=10 | U_D=1 | q=  4 | q_bin=00000100 | f=1010
Time=910000 | CLR=0 | S1S0=10 | U_D=1 | q=  4 | q_bin=00000100 | f=0110
Time=930000 | CLR=0 | S1S0=10 | U_D=1 | q=  5 | q_bin=00000101 | f=0110
Time=950000 | CLR=0 | S1S0=10 | U_D=1 | q=  5 | q_bin=00000101 | f=1110
Time=990000 | CLR=0 | S1S0=10 | U_D=1 | q=  5 | q_bin=00000101 | f=0001
