ISim log file
Running: /home/ise/F8_code/VERILOG/SISO_c6/SISO_C6/tb_sipo_shift_load_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/ise/F8_code/VERILOG/SISO_c6/SISO_C6/tb_sipo_shift_load_isim_beh.wdb 
ISim P.20131013 (signature 0xfbc00daa)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Time=0 | reset=1 | shift_load=0 | serial_in=0 | parallel_in=0000 | q=0000
Time=20000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=0000 | q=0000
Time=30000 | reset=0 | shift_load=1 | serial_in=0 | parallel_in=1010 | q=0000
Time=35000 | reset=0 | shift_load=1 | serial_in=0 | parallel_in=1010 | q=1010
Time=40000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=1010 | q=1010
Time=45000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=1010 | q=1101
Time=50000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=1010 | q=1101
Time=55000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=1010 | q=0110
Time=60000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=1010 | q=0110
Time=65000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=1010 | q=1011
Time=75000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=1010 | q=1101
Time=80000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=1010 | q=1101
Time=85000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=1010 | q=0110
Time=90000 | reset=0 | shift_load=1 | serial_in=0 | parallel_in=0110 | q=0110
Time=100000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=0110 | q=0110
Time=105000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=0110 | q=1011
Time=110000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=0110 | q=1011
Time=115000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=0110 | q=0101
Time=125000 | reset=0 | shift_load=0 | serial_in=0 | parallel_in=0110 | q=0010
Time=130000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=0110 | q=0010
Time=135000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=0110 | q=1001
Time=145000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=0110 | q=1100
Time=155000 | reset=0 | shift_load=0 | serial_in=1 | parallel_in=0110 | q=1110
Stopped at time : 160 ns :  in File "/home/ise/F8_code/VERILOG/SISO_c6/tb_sipo_shift_load.v" Line 163 
